,,,,,,,
,,,,,,,
,,,,,,,
,0.3.1.1.24.,"Izrezivanje otvora, parapeta, ležajeva za nove nadvoje, vertikalne serklaže, i sl. u nosivim zidovima, zidovima ispune postojeće zgrade,
od blok opeke debljine 25-30 cm, obostrano ožbukanih i/ili obloženih keramičkim pločicama, uključivo uredno izveden rub prema dijelu zidova koji se ne ruši.
Uključivo potrebna skela i odvoz na gradski deponij.
Mjesto uklanjanja: podrum, prizemlje, kat.
Obračun po m3 kompletno uklonjenog zida.",,,,,
,0.3.1.1.24.a.,,m³,1.71,194,331.74,
,,,,,,,
,0.3.1.1.25.,"Izrezivanje otvora, ležajeva za nove nadvoje, i sl. u nosivim ukopanim ab zidovima postojeće zgrade, debljine 25-30 cm, ožbukanih s unutarnje strane, obloženih toplinskom i hidroizolacijom te zaštitom hidroizolacije i sl. s vanjske strane , uključivo uredno izveden rub prema dijelu zidova koji se ne ruši (rezalicama).
Uključivo potrebna skela i odvoz na gradski deponij.
Mjesto uklanjanja: podrum.
Obračun po m3 kompletno uklonjenog zida.",,,,,
,0.3.1.1.25.a.,,m³,0.61,194,118.34,
,,,,,,,
,0.3.1.1.28.,"Strojno rušenje (uklanjanje) armiranobetonske podne ploče podruma, pretpostavljene debljine 15 cm s cementnim estrihom debljine cca 4 cm, s razbijanjem na manje komade (do 300 kg).
Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjene ploče.",,,,,
,0.3.1.1.28.a.,,m³,2.03,115,233.45,
,,,,,,,
,0.3.1.1.29.,"Strojno rušenje (uklanjanje) armiranobetonske podne ploče autosalona, pretpostavljene debljine 20-30 cm s cementnim estrihom debljine cca 5 cm, rampe, pasice i sl. s razbijanjem na manje komade (do 300 kg).
Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjene ploče.",,,,,
,0.3.1.1.29.a.,,m³,49.18,89,4377.02,
,,,,,,,
,0.3.1.1.30.,"Strojno rušenje (uklanjanje) betonskih podnih ploča parkirališta ostalih ispod poda autosalona, pretpostavljene debljine 15 cm, nakon uklanjanja poda autosalona, s razbijanjem na manje komade (do 300 kg).
Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjene ploče.",,,,,
,0.3.1.1.30.a.,,komad,29.51,53,1564.03,
,,,,,,,
,0.3.1.1.31.,"Strojno rušenje (uklanjanje) betonskih podnih ploča autopraonice, pretpostavljene debljine 15 cm, s razbijanjem na manje komade (do 300 kg).
Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjene ploče.",,,,,
,0.3.1.1.31.a.,,m³,18.54,89,1650.06,
,,,,,,,
,0.3.1.1.32.,"Pažljivo rušenje (uklanjanje) tipskog dimnjaka od predgotovljenih elemenata tipa Schiedel ili sl. u etažama podruma i prizemlja, visine max. 7,5 m. Uključivo uklanjanje svih elemenata dimnjaka i eventualnih veza (metalnih) sa obodnom konstrukcijom (stropovi) i sl.. Dimnjak se ne uklanja u etaži prvog kata i iznad te je potrebno izvesti novo oslanjanje u razini stropa prizemlja prije početka rušenja, obračunato posebno.
Radove na uklanjanju dimnjaka obavezno izvoditi pažljivo. Otpadni materijal treba kontinuirano uklanjati s građevine (bez gomilanja).
U jediničnu cijenu uključeno skela, sav potreban rad, svi transporti, te sortiranje uklonjenog materijala po vrstama otpada i zbrinjavanje.
Obračun po m3 kompletno uklonjenog dimnjaka.",,,,,
,0.3.1.1.32.a.,,m³,3.07,97,297.79,
,,,,,,,
,0.3.1.1.33.,"Strojno rušenje (uklanjanje) armiranobetonskih zidova i podne ploče ukopanih svjetlarnika podrumskih prozora, cementnog estriha i sl., s razbijanjem na manje komade (do 300 kg).
Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjene ploče.",,,,,
,0.3.1.1.33.a.,,m³,19.93,102.5,2042.825,
,,,,,,,
,0.3.1.1.34.,"Rušenje (uklanjanje) betonskih zidića - sokla autosalona i autopraonice. Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjenog sokla.",,,,,
,0.3.1.1.34.a.,,m³,1.02,128,130.56,
,,,,,,,
,0.3.1.1.35.,"Rušenje (uklanjanje) betonskih temeljnih traka i temeljnih stopa autosalona i autopraonice. Uključivo odvoz na gradski deponij.
Obračun po m3 kompletno uklonjenih temelja.",,,,,
,0.3.1.1.35.a.,,m³,75.38,95,7161.1,
,,,,,,,
,0.3.1.1.,Djelomično rušenje spojenih objekata (NS02-1.1.2.) UKUPNO:,,,,56715.2006,
,,,,,,,
,0.3.1.,RUŠENJA (NS02-1.1.) UKUPNO:,,,,56715.2006,
,,,,,,,
,0.3.2.,UKLANJANJA (NS02- 1.2.),,,,,
,,,,,,,
,,OPĆI UVJETI,,,,,
,,,,,,,
,,"Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - NS02 - točka 1.2.

Uklanjanje podova, uključujući podlogu, odrađuje se mehanizacijom ili ručno do nosive konstrukcije.
Uklanjanje obloga od keramike, uključujući i podlogu ukoliko je u lošem stanju, izvodi se mehanizacijom ili ručno.
Uklanjanje spuštenih stropova od gipskartonskih ploča, mineralnovlaknastih ploča, metala, uključuje i nosivu konstrukciju (lamele, profili, ovjesi, klinovi, itd.), te se izvodi mehanički ili ručno za sve visine po potrebi.
Uklanjanje unutarnje i/ili vanjske stolarije uključujući ostakljene dijelove, izvodi se ručno. Uključuje utovar, pakiranje ako je potrebno, prijevoz unutar gradilišta, istovar i prijem na odgovarajuće mjesto. Tamo gdje nije predviđen",,,,,
,,"povrat, bit će uključen utovar, prijevoz do ovlaštenih odlagališta otpada, istovar, troškove odlagališta otpada i sve naknade za izvršenje posla na stručan način u skladu s pravilima struke i važećim zakonodavstvom.
Uklanjanje i zbrinjavanje sanitarne keramike i opreme, uključujući eventualni povrat i odlaganje na odgovarajuće mjesto, izvodi se ručno.
Uključuje i utovar, prijevoz do javnih ovlaštenih odlagališta otpadnih materijala, istovar, zbrinjavanja, troškove odlagališta otpada i sve troškove za izvršenje posla na stručan način u skladu s pravilima struke i važećim zakonodavstvom.",,,,,
,,,,,,,
