,,,,,
h),"POZ 9,  jednokrilni prozor s  zaokretno/otklopnim krilom, dim.60x90 cm; (jedno mutno staklo)",kom,1,390,390
,,,,,
,BRAVARSKI RADOVI,,UKUPNO:,EURA,8140
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,A. / R E K A P I T U L A C I J A,,,,
,,,,,
1., PRIPREMNI RADOVI,……………………………,,,1380
,,,,,
2., ZEMLJANI RADOVI,……………………………,,,3625
,,,,,
3., BETONSKI I AB RADOVI,……………………………,,,33162.8
,,,,,
4., ZIDARSKI RADOVI,……………………………,,,16788.4
,,,,,
5., HIDRO I TERMO IZOLACIJSKI RADOVI,……………………………,,,3808
,,,,,
6., RADOVI NA RAVNOM KROVU,……………………………,,,15410
,,,,,
7., LIMARSKI RADOVI,……………………………,,,5103.1
,,,,,
8., KERAMIČARSKI RADOVI,……………………………,,,7279.8
,,,,,
9., KAMENOREZAČKI RADOVI,……………………………,,,3583
,,,,,
10., STOLARSKI RADOVI,……………………………,,,2340
,,,,,
11., FASADERSKI I BOJADISERSKI RADOVI,……………………………,,,13164.4
,,,,,
12., PARKETARSKI RADOVI,……………………………,,,1470
,,,,,
13., BRAVARSKI  RADOVI,……………………………,,,8140
,,,,,
,,,UKUPNO:,EURA,115254.5
