,,,,,
,A. GRAĐEVINSKI RADOVI,,,,
,,,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati. Ovi opći uvjeti mjenjaju se ili nadopunjuju opisom pojedine stavke troškovnika.,,,,
,Sve izvesti prema opisu u troškovniku. Materijali moraju zadovoljavati određene propise i standarde.,,,,
,"Prije izvedbe limarskih radova obavezno uzeti točne mjere na građevini. Osim ako to pojedinom stavkom nije drugačije specificirano. Sve radove izvesti obojenim pocinčanim limom boje po izboru projektanta, debljine 0,55 mm ili debljim.",,,,
B.01.1,"Nabava materijala, izrada i montaža horizontalnog oluka u skrivenom krovu sa obojenim pocinčanim limom. Presjek oluka je 15x15 cm sa dijelom lima uz zid. U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Razvijena širina 60 cm.",m′,28.2,,
B.01.2,"Nabava materijala, izrada i montaža opšava zida na krovu i vertikalno u horizontalni oluk sa obojenim pocinčanim limom.  U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Razvijena širina 80 cm.",m′,28.2,,
B.01.3,"Nabava materijala, izrada i montaža opšava zabatnih zidova na krovu sa obojenim pocinčanim limom.  U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Razvijena širina 45/80 cm.",m′,15,,
B.01.4,"Nabava materijala, izrada i montaža opšava na krovu iznad terase sa zida na krovni lim, sa obojenim pocinčanim limom.  U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Razvijena širina 50 cm.",m′,3.3,,
B.01.5,"Nabava materijala, izrada i montaža opšava na krovu iznad terase sa greda na krovni lim, sa obojenim pocinčanim limom.  U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Razvijena širina 30 cm.",m′,7,,
B.01.6,"Nabava materijala, izrada i montaža vertikalnih oluka, sa obojenim pocinčanim limom.  U cijenu uključeni potrebni nosači i ostali potrošni materijal i pribor. Promjera 10 cm.",m′,9,,
,,,,,
,B. 01. LIMARSKI RADOVI:    Kuna,,,,
,,,,,
,B. 02. KERAMIČARSKI RADOVI,,,,
,,,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati.,,,,
,"U cijenu za svaku pojedinu stavku uključiti sav osnovni materijal, lagane skele, neizbježne otpatke, transport na gradilištu, troškove izrade, te uklanjanje nečistoća nastalih tokom rada, kao i odvoz sveg pratećeg suvišnog materijala i smeća.",,,,
B.02.1,"Nabava materijala, dovoz i postavljanje podnih keramičkih pločica unutar objekta pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase. U cijenu uključeno i fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora. Pločice vrijednosti do 200 kn/m2. Keramičke pločice se postavljaju pomoću distancera (podloška) i kajli.",m²,56,,
B.02.2,"Nabava materijala, dovoz i postavljanje sokla od  keramičkih pločica na sudaru unutarnjih zidova i podova pomoću fleksibilnog građevinskog ljepila. Soklo je od keramičkih pločica I.klase visine do 10 cm. U cijenu uključeno i fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora.",m′,41.3,,
B.02.3,"Nabava materijala, dovoz i postavljanje zidnih keramičkih pločica pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase. Visina oblaganja u kuhinji 150 cm a u kupatilima do vrha zida. U cijenu uključeno i fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora. Pločice vrijednosti do 200 kn/m2. Keramičke pločice se postavljaju pomoću distancera (podloška) i kajli. U cijenu uključene i potrebne kutne ukrasne lajsne po izboru investitora.",m²,35,,
B.02.4,"Nabava materijala, dovoz i postavljanje podnih keramičkih pločica na balkone i terase, pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase otporne na atmosferilije. U cijenu uključeno i fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora. Pločice vrijednosti do 200 kn/m2. Keramičke pločice se postavljaju pomoću distancera (podloška) i kajli.",m²,15,,
